index,float_offset,code_minus_24,code_minus_8,code_plus_0,v2_bits,v3_bits,v2,v3,pre0,pre1,pre2,pre3,pre4,pre5
0,326,0x00000000,0x00000000,0x3FD9999A,0x3FD9999A,0x3F733333,1.700000,0.950000,0x00000000,0x00800000,0x00000000,0x00000000,0x00000000,0x02000000
1,414,0x00000000,0x00000000,0x3FD9999A,0x3FD9999A,0x3F733333,1.700000,0.950000,0x00000000,0x00800000,0x00000000,0x00000000,0x00000000,0x02000000
2,502,0x00000000,0x00000000,0x3FD9999A,0x3FD9999A,0x3F733333,1.700000,0.950000,0x00000000,0x00800000,0x00000000,0x00000000,0x00000000,0x02000000
3,590,0x00000000,0x00000000,0x3FD9999A,0x3FD9999A,0x3F733333,1.700000,0.950000,0x00000000,0x00800000,0x00000000,0x00000000,0x00000000,0x02000000
4,678,0x00000000,0x00000000,0x3FD9999A,0x3FD9999A,0x3F733333,1.700000,0.950000,0x00000000,0x00800000,0x00000000,0x00000000,0x00000000,0x02000000
5,766,0x00000000,0x00000000,0x3FD9999A,0x3FD9999A,0x3F733333,1.700000,0.950000,0x00000000,0x00800000,0x00000000,0x00000000,0x00000000,0x02000000
6,854,0x00000000,0x00000000,0x3FD9999A,0x3FD9999A,0x3F733333,1.700000,0.950000,0x00000000,0x00800000,0x00000000,0x00000000,0x00000000,0x02000000
7,942,0x00000000,0x00000000,0x3FD9999A,0x3FD9999A,0x3F733333,1.700000,0.950000,0x00000000,0x00800000,0x00000000,0x00000000,0x00000000,0x02000000
8,1030,0x00000000,0x00000000,0x3FD9999A,0x3FD9999A,0x3F733333,1.700000,0.950000,0x00000000,0x00800000,0x00000000,0x00000000,0x00000000,0x02000000
9,1118,0x00000000,0x00000000,0x3FD9999A,0x3FD9999A,0x3F733333,1.700000,0.950000,0x00000000,0x00800000,0x00000000,0x00000000,0x00000000,0x02000000
10,1206,0x00000000,0x00000000,0x3FD9999A,0x3FD9999A,0x3F733333,1.700000,0.950000,0x00000000,0x00800000,0x00000000,0x00000000,0x00000000,0x02000000
11,1294,0x00000000,0x00000000,0x3FD9999A,0x3FD9999A,0x3F733333,1.700000,0.950000,0x00000000,0x00800000,0x00000000,0x00000000,0x00000000,0x02000000
12,1382,0x00000000,0x00000000,0x3FD9999A,0x3FD9999A,0x3F733333,1.700000,0.950000,0x00000000,0x00800000,0x00000000,0x00000000,0x00000000,0x02000000
